Name	MS2FormulaType	Q1	Q3	CE	Polarity	Formula	MS2Formula	IntegrationStartTime	IntegrationEndTime	Tags
PC_42:11	ConstantProduct	852.5537815449005	184.07332101418055		Positive	C50H79O8N1P1	C5H15O4N1P1	0	120	
PC_40:12	ConstantProduct	822.5068313524806	184.07332101418055		Positive	C48H73O8N1P1	C5H15O4N1P1	0	120	
PC_42:12	ConstantProduct	850.5381314807606	184.07332101418055		Positive	C50H77O8N1P1	C5H15O4N1P1	0	120	
PC_38:12	ConstantProduct	794.4755312242006	184.07332101418055		Positive	C46H69O8N1P1	C5H15O4N1P1	0	120	
PC_40:13	ConstantProduct	820.4911812883405	184.07332101418055		Positive	C48H71O8N1P1	C5H15O4N1P1	0	120	
PC_42:13	ConstantProduct	848.5224814166205	184.07332101418055		Positive	C50H75O8N1P1	C5H15O4N1P1	0	120	
PC_44:0	ConstantProduct	902.7572323787207	184.07332101418055		Positive	C52H105O8N1P1	C5H15O4N1P1	0	120	
PC_44:1	ConstantProduct	900.7415823145806	184.07332101418055		Positive	C52H103O8N1P1	C5H15O4N1P1	0	120	
PC_44:2	ConstantProduct	898.7259322504407	184.07332101418055		Positive	C52H101O8N1P1	C5H15O4N1P1	0	120	
PC_44:3	ConstantProduct	896.7102821863006	184.07332101418055		Positive	C52H99O8N1P1	C5H15O4N1P1	0	120	
PC_44:4	ConstantProduct	894.6946321221607	184.07332101418055		Positive	C52H97O8N1P1	C5H15O4N1P1	0	120	
PC_44:5	ConstantProduct	892.6789820580206	184.07332101418055		Positive	C52H95O8N1P1	C5H15O4N1P1	0	120	
PC_44:6	ConstantProduct	890.6633319938807	184.07332101418055		Positive	C52H93O8N1P1	C5H15O4N1P1	0	120	
PC_44:7	ConstantProduct	888.6476819297405	184.07332101418055		Positive	C52H91O8N1P1	C5H15O4N1P1	0	120	
PC_44:8	ConstantProduct	886.6320318656007	184.07332101418055		Positive	C52H89O8N1P1	C5H15O4N1P1	0	120	
PC_44:9	ConstantProduct	884.6163818014605	184.07332101418055		Positive	C52H87O8N1P1	C5H15O4N1P1	0	120	
PC_44:10	ConstantProduct	882.6007317373206	184.07332101418055		Positive	C52H85O8N1P1	C5H15O4N1P1	0	120	
PC_44:11	ConstantProduct	880.5850816731805	184.07332101418055		Positive	C52H83O8N1P1	C5H15O4N1P1	0	120	
PC_44:12	ConstantProduct	878.5694316090406	184.07332101418055		Positive	C52H81O8N1P1	C5H15O4N1P1	0	120	
PC_44:13	ConstantProduct	876.5537815449005	184.07332101418055		Positive	C52H79O8N1P1	C5H15O4N1P1	0	120	
PC_42:14	ConstantProduct	846.5068313524806	184.07332101418055		Positive	C50H73O8N1P1	C5H15O4N1P1	0	120	
PC_44:14	ConstantProduct	874.5381314807606	184.07332101418055		Positive	C52H77O8N1P1	C5H15O4N1P1	0	120	
